<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY>
<org.apache.commons.csv.CSVFormat: int hashCode()> , if $z0 == 0 goto $r14 = r11.<java.util.concurrent.ConcurrentHashMap$Node: java.util.concurrent.ConcurrentHashMap$Node next> , $r14 = r11.<java.util.concurrent.ConcurrentHashMap$Node: java.util.concurrent.ConcurrentHashMap$Node next>
<org.apache.commons.csv.CSVFormat: int hashCode()> , $r6 = r11.<java.util.concurrent.ConcurrentHashMap$Node: java.lang.Object val> , return $r6
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , r0 := @this: java.io.BufferedReader$1
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $r5 := @caughtexception
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , r0 := @this: java.io.BufferedReader$1 , $r1 = r0.<java.io.BufferedReader$1: java.lang.String nextLine>
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $r1 = r0.<java.io.BufferedReader$1: java.lang.String nextLine> , if $r1 == null goto $r2 = r0.<java.io.BufferedReader$1: java.io.BufferedReader this$0>
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , if $r1 == null goto $r2 = r0.<java.io.BufferedReader$1: java.io.BufferedReader this$0> , return 1
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , if $r1 == null goto $r2 = r0.<java.io.BufferedReader$1: java.io.BufferedReader this$0> , $r2 = r0.<java.io.BufferedReader$1: java.io.BufferedReader this$0>
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $r2 = r0.<java.io.BufferedReader$1: java.io.BufferedReader this$0> , $r3 = virtualinvoke $r2.<java.io.BufferedReader: java.lang.String readLine()>()
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $r3 = virtualinvoke $r2.<java.io.BufferedReader: java.lang.String readLine()>() , r0.<java.io.BufferedReader$1: java.lang.String nextLine> = $r3
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , r0.<java.io.BufferedReader$1: java.lang.String nextLine> = $r3 , $r4 = r0.<java.io.BufferedReader$1: java.lang.String nextLine>
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $r4 = r0.<java.io.BufferedReader$1: java.lang.String nextLine> , if $r4 == null goto $z0 = 0
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , if $r4 == null goto $z0 = 0 , $z0 = 1
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , if $r4 == null goto $z0 = 0 , $z0 = 0
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $z0 = 1 , goto [?= return $z0]
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , goto [?= return $z0] , return $z0
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $z0 = 0 , return $z0
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $r5 := @caughtexception , r6 = $r5
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , r6 = $r5 , $r7 = new java.io.UncheckedIOException
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , $r7 = new java.io.UncheckedIOException , specialinvoke $r7.<java.io.UncheckedIOException: void <init>(java.io.IOException)>(r6)
<org.apache.commons.csv.ExtendedBufferedReader: java.lang.String readLine()> , specialinvoke $r7.<java.io.UncheckedIOException: void <init>(java.io.IOException)>(r6) , throw $r7
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , r0 := @this: org.apache.commons.csv.ExtendedBufferedReader
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , r0 := @this: org.apache.commons.csv.ExtendedBufferedReader , $i0 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , $i0 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>() , if $i0 != -1 goto $r1 = new java.lang.StringBuilder
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if $i0 != -1 goto $r1 = new java.lang.StringBuilder , return null
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if $i0 != -1 goto $r1 = new java.lang.StringBuilder , $r1 = new java.lang.StringBuilder
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , $r1 = new java.lang.StringBuilder , specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , specialinvoke $r1.<java.lang.StringBuilder: void <init>()>() , r2 = $r1
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , r2 = $r1 , i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , if i1 != 13 goto (branch)
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 != 13 goto (branch) , i3 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 != 13 goto (branch) , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , i3 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>() , if i3 != 10 goto (branch)
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i3 != 10 goto (branch) , virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i3 != 10 goto (branch) , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , if i1 == 10 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 == 10 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , if i1 != 13 goto $c2 = (char) i1
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 == 10 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 != 13 goto $c2 = (char) i1 , goto [?= $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()]
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , if i1 != 13 goto $c2 = (char) i1 , $c2 = (char) i1
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , goto [?= $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()] , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , $c2 = (char) i1 , virtualinvoke r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2)
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , virtualinvoke r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2) , goto [?= i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()]
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , goto [?= i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()] , i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()> , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , return $r4
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , r0 := @this: org.apache.commons.csv.ExtendedBufferedReader
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , r0 := @this: org.apache.commons.csv.ExtendedBufferedReader , $i0 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , $i0 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>() , if $i0 != -1 goto $r1 = new java.lang.StringBuilder
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if $i0 != -1 goto $r1 = new java.lang.StringBuilder , return null
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if $i0 != -1 goto $r1 = new java.lang.StringBuilder , $r1 = new java.lang.StringBuilder
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , $r1 = new java.lang.StringBuilder , specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , specialinvoke $r1.<java.lang.StringBuilder: void <init>()>() , r2 = $r1
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , r2 = $r1 , i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , if i1 != 13 goto (branch)
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 != 13 goto (branch) , i3 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 != 13 goto (branch) , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , i3 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int lookAhead()>() , if i3 != 10 goto (branch)
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i3 != 10 goto (branch) , virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i3 != 10 goto (branch) , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , if i1 == 10 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 == -1 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 == 10 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , if i1 != 13 goto $c2 = (char) i1
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 == 10 goto $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 != 13 goto $c2 = (char) i1 , goto [?= $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()]
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , if i1 != 13 goto $c2 = (char) i1 , $c2 = (char) i1
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , goto [?= $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()] , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , $c2 = (char) i1 , virtualinvoke r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2)
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , virtualinvoke r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2) , goto [?= i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()]
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , goto [?= i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()] , i1 = virtualinvoke r0.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.ExtendedBufferedReader: int read()> , $r4 = virtualinvoke r2.<java.lang.StringBuilder: java.lang.String toString()>() , return $r4
<org.apache.commons.csv.Lexer: boolean isClosed()> , r0 := @this: org.apache.commons.csv.CSVParser
<org.apache.commons.csv.Lexer: boolean isClosed()> , r0 := @this: org.apache.commons.csv.CSVParser , $r1 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Lexer lexer>
<org.apache.commons.csv.Lexer: boolean isClosed()> , $r1 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Lexer lexer> , $z0 = virtualinvoke $r1.<org.apache.commons.csv.Lexer: boolean isClosed()>()
<org.apache.commons.csv.Lexer: boolean isClosed()> , $z0 = virtualinvoke $r1.<org.apache.commons.csv.Lexer: boolean isClosed()>() , return $z0
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , r0 := @this: org.apache.commons.csv.CSVParser
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , r0 := @this: org.apache.commons.csv.CSVParser , r38 = null
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , r38 = null , $r1 = r0.<org.apache.commons.csv.CSVParser: java.util.List recordList>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r1 = r0.<org.apache.commons.csv.CSVParser: java.util.List recordList> , interfaceinvoke $r1.<java.util.List: void clear()>()
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , interfaceinvoke $r1.<java.util.List: void clear()>() , r39 = null
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , r39 = null , $r2 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Lexer lexer>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r2 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Lexer lexer> , $l0 = virtualinvoke $r2.<org.apache.commons.csv.Lexer: long getCharacterPosition()>()
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $l0 = virtualinvoke $r2.<org.apache.commons.csv.Lexer: long getCharacterPosition()>() , $l1 = r0.<org.apache.commons.csv.CSVParser: long characterOffset>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $l1 = r0.<org.apache.commons.csv.CSVParser: long characterOffset> , l2 = $l0 + $l1
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , l2 = $l0 + $l1 , $r3 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r3 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken> , virtualinvoke $r3.<org.apache.commons.csv.Token: void reset()>()
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , virtualinvoke $r3.<org.apache.commons.csv.Token: void reset()>() , $r5 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Lexer lexer>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r5 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Lexer lexer> , $r4 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r4 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken> , virtualinvoke $r5.<org.apache.commons.csv.Lexer: org.apache.commons.csv.Token nextToken(org.apache.commons.csv.Token)>($r4)
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , virtualinvoke $r5.<org.apache.commons.csv.Lexer: org.apache.commons.csv.Token nextToken(org.apache.commons.csv.Token)>($r4) , $r9 = <org.apache.commons.csv.CSVParser$1: int[] $SwitchMap$org$apache$commons$csv$Token$Type>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r9 = <org.apache.commons.csv.CSVParser$1: int[] $SwitchMap$org$apache$commons$csv$Token$Type> , $r7 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r7 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken> , $r8 = $r7.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type>
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $r8 = $r7.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> , $i3 = virtualinvoke $r8.<org.apache.commons.csv.Token$Type: int ordinal()>()
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $i3 = virtualinvoke $r8.<org.apache.commons.csv.Token$Type: int ordinal()>() , $i4 = $r9[$i3]
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , $i4 = $r9[$i3] , tableswitch($i4) {     case 1: goto specialinvoke r0.<org.apache.commons.csv.CSVParser: void addRecordValue(boolean)>(0);     case 2: goto specialinvoke r0.<org.apache.commons.csv.CSVParser: void addRecordValue(boolean)>(1);     case 3: goto $r30 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>;     case 4: goto $r24 = new java.io.IOException;     case 5: goto if r39 != null goto virtualinvoke r39.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(10);     default: goto $r31 = new java.lang.IllegalStateException; }
<org.apache.commons.csv.CSVParser: long getCurrentLineNumber()> , tableswitch($i4) {     case 1: goto specialinvoke r0.<org.apache.commons.csv.CSVParser: void addRecordValue(boolean)>(0);     case 2: goto specialinvoke r0.<org.apache.commons.csv.CSVParser: void addRecordValue(boolean)>(1);     case 3: goto $r30 = r0.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>;     case 4: goto $r24 = new java.io.IOException;     case 5: goto if r39 != null goto virtualinvoke r39.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(10);     default: goto $r31 = new java.lang.IllegalStateException; } , specialinvoke r0.<org.apache.commons.csv.CSVParser: void addRecordValue(boolean)>(0)
